business_id,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value
67,Gobabis Farming,Technology,Karas,13,132,2090525,Working Capital,24,1682686,20761,1148245,911239,36800,625,8,0,Equipment,1196721
68,Gobabis Retail,Manufacturing,Karas,14,133,1882269,Construction,48,4597264,552604,108248,3870729,107502,683,1,1,Property,3654627
69,Namib Technologies,Mining Services,Oshana,11,151,2003150,Expansion,24,11736248,435683,902727,1789199,94949,592,4,0,Savings,817048
70,Namib Supplies,Technology,Hardap,15,229,947274,Construction,12,9732830,661692,522453,1939593,65121,488,7,0,Property,783961
71,Erongo Food Services,Mining Services,Otjozondjupa,19,168,558027,Vehicle Purchase,12,9193354,682684,1188127,2662972,49316,711,1,1,Property,2841222
72,Katima Supplies,Manufacturing,Oshana,24,140,2137582,Inventory,24,1273573,689848,660839,1706542,19793,837,3,1,Inventory,3379535
73,Katima Technologies,Manufacturing,Oshikoto,9,163,887303,Expansion,24,14263183,42425,2612187,699400,61391,469,4,1,Livestock,3490577
74,Okavango Construction,Mining Services,Otjozondjupa,5,80,1899775,Inventory,12,8654813,524867,2979533,2677131,89486,599,6,0,Inventory,1495207
75,Okavango Technologies,Retail,Erongo,15,86,1447292,Payroll Support,12,8981416,337923,2584812,1705646,36424,551,5,0,Inventory,2320570
76,Gobabis Logistics,Construction,Otjozondjupa,14,30,551828,Vehicle Purchase,48,4271877,57194,1889537,633917,109833,539,7,0,Livestock,3608107
77,Gobabis Logistics,Manufacturing,Khomas,12,236,2242363,Vehicle Purchase,60,14591068,387173,2586935,636712,99526,845,1,0,Savings,4608773
78,Kalahari Trading,Agriculture,Karas,9,245,830711,Technology Upgrade,36,5716745,770037,1531021,3995106,113795,841,2,0,Livestock,3789046
79,Caprivi Tours,Tourism,Otjozondjupa,19,44,2132712,Expansion,60,4110449,69513,2415385,2575122,117758,770,6,1,Vehicle,3724835
80,Namib Farming,Agriculture,Hardap,17,48,2088122,Construction,60,8011433,643579,2257261,370762,96800,514,5,0,Property,3613601
81,Otji Supplies,Food Services,Oshikoto,18,130,116597,Construction,48,1104485,565327,215482,162685,115538,523,5,0,Livestock,2691176
82,Erongo Technologies,Transport,Erongo,15,112,1070276,Working Capital,48,10525634,401121,2096850,2325639,64768,519,4,0,Livestock,527161
83,Luderitz Technologies,Tourism,Kavango East,6,235,722369,Technology Upgrade,24,6999351,643225,1814947,1423116,64755,458,4,0,Vehicle,2130944
84,Caprivi Trading,Construction,Kavango West,9,225,2071300,Vehicle Purchase,36,8316409,600717,435893,1633300,14285,671,2,0,Property,2527431
85,Gobabis Fishing,Food Services,Hardap,20,144,2402759,Expansion,48,11753227,52609,719812,2221501,65855,820,6,0,Inventory,1034586
86,Oshana Tours,Agriculture,Oshikoto,16,131,1155012,Vehicle Purchase,48,470560,174243,1474618,2473984,118229,667,7,0,Vehicle,83869
87,Kunene Construction,Mining Services,Oshikoto,3,145,1004859,Construction,24,4538071,170320,1859108,332875,52135,677,1,0,Property,4144522
88,Oshana Logistics,Logistics,Hardap,23,240,771278,Construction,24,3561240,305038,529356,2962094,28901,701,8,0,Property,2522323
89,Katima Logistics,Transport,Oshikoto,20,183,906101,Expansion,12,6150476,165832,1386303,908573,8713,728,6,1,Equipment,2523337
90,Caprivi Food Services,Food Services,Oshikoto,18,178,907011,Payroll Support,24,7810183,780389,1163312,2158863,105699,692,8,1,Livestock,2899953
91,Walvis Manufacturing,Mining Services,Kavango West,22,100,2478121,Working Capital,48,508945,590423,78435,2118662,43072,722,0,0,Vehicle,461624
92,Kalahari Supplies,Manufacturing,Hardap,25,174,2492367,Technology Upgrade,48,2670142,107390,345341,3139204,32054,710,2,0,Inventory,2922156
93,Luderitz Supplies,Logistics,Oshikoto,24,180,1418414,Technology Upgrade,12,2610063,782245,1054378,2462250,98850,696,6,1,Inventory,4080306
94,Windhoek Trading,Logistics,Oshana,17,243,1545870,Payroll Support,12,12312824,136555,2777838,3997612,85079,530,1,0,Vehicle,4490015
95,Kunene Fishing,Manufacturing,Kavango East,1,61,616382,Payroll Support,48,12694636,164431,821039,1799526,100802,687,4,0,Savings,4559647
96,Kalahari Technologies,Agriculture,Kavango West,22,156,2211670,Equipment Purchase,36,9788366,521133,2852679,2278190,108062,676,3,0,Savings,3571397
97,Kalahari Tours,Food Services,Oshana,15,84,222674,Vehicle Purchase,12,9697066,179302,2487918,679141,89734,780,4,0,Equipment,2233003
98,Katima Technologies,Construction,Oshana,13,9,491499,Equipment Purchase,24,14431897,643249,202104,267032,94204,657,7,0,Equipment,3717803
99,Kalahari Technologies,Agriculture,Oshikoto,8,8,207768,Inventory,12,7507873,613362,419167,1937090,4379,497,5,0,Vehicle,800074
100,Caprivi Fishing,Construction,Oshana,20,32,1520115,Expansion,48,10573724,62456,1059787,324721,10865,636,4,0,Livestock,2911252
101,Oshana Retail,Mining Services,Erongo,17,46,634410,Expansion,60,13808654,83401,1126410,3649424,38080,538,5,0,Savings,182771
102,Kalahari Retail,Mining Services,Oshikoto,4,90,360205,Vehicle Purchase,36,8720374,782330,1081493,2296591,50733,705,8,0,Savings,4469049
103,Namib Trading,Manufacturing,Oshana,8,87,1075035,Expansion,12,10293240,96753,1993098,279398,53793,657,1,0,Inventory,420530
104,Okavango Construction,Transport,Karas,5,121,1186599,Expansion,48,5128949,673244,1422085,2210529,84031,656,1,1,Property,3152324
105,Gobabis Supplies,Construction,Erongo,6,59,1551201,Inventory,48,6057330,530963,468322,900187,116610,559,7,1,Inventory,2821574
106,Caprivi Supplies,Retail,Kavango West,12,13,965575,Working Capital,48,777995,180672,1233161,1368255,71212,562,8,0,Livestock,1946263
107,Gobabis Supplies,Tourism,Hardap,12,246,740247,Expansion,12,6611124,61430,2291276,2320484,32790,766,8,1,Inventory,4450082
108,Gobabis Technologies,Construction,Khomas,13,74,936939,Construction,60,6408791,211129,2093742,1505073,67862,544,8,0,Vehicle,2649495
109,Kalahari Manufacturing,Tourism,Kavango West,1,158,2260569,Working Capital,60,9596353,31637,1565090,2129655,61563,722,2,0,Inventory,4748120
110,Gobabis Transport,Tourism,Hardap,1,189,2466543,Vehicle Purchase,12,323942,87444,2920407,3413791,64494,692,2,0,Vehicle,1574670
111,Swakop Technologies,Logistics,Karas,1,81,1810507,Technology Upgrade,36,4622832,277425,2296563,1348914,101453,542,6,1,Savings,1921425
112,Etosha Food Services,Technology,Kavango West,2,88,1645638,Equipment Purchase,36,7509857,557488,2718633,1917862,1989,774,4,0,Vehicle,3358962
113,Kalahari Transport,Agriculture,Erongo,5,152,1868880,Working Capital,36,3964607,43358,2604885,1689265,43362,555,5,1,Property,1853228
114,Etosha Farming,Food Services,Oshikoto,11,139,2177826,Expansion,48,9829449,398506,1883019,2844355,31172,729,4,0,Savings,3638903
115,Swakop Farming,Agriculture,Khomas,1,167,532364,Construction,60,5085772,499069,1990138,2809606,30900,578,0,0,Inventory,4309488
116,Windhoek Transport,Transport,Kavango West,4,179,1386161,Equipment Purchase,60,9460256,642247,1205078,106083,97722,535,1,0,Vehicle,486549
117,Katima Trading,Retail,Erongo,17,107,647752,Construction,60,5439922,176784,978224,471802,105115,655,3,0,Savings,2971743
118,Walvis Farming,Agriculture,Erongo,10,143,1516800,Expansion,12,2342654,364777,1153609,2666268,74321,717,3,0,Equipment,3082001
119,Katima Trading,Technology,Oshikoto,13,174,77949,Vehicle Purchase,60,10926489,111879,368055,1649348,30969,563,1,0,Vehicle,4570771
120,Luderitz Retail,Technology,Hardap,7,241,320838,Equipment Purchase,12,7474840,254532,2593824,205631,37579,575,1,0,Livestock,1516503
121,Caprivi Manufacturing,Technology,Erongo,17,240,808208,Vehicle Purchase,48,13435772,197192,1305771,3314963,106723,812,7,1,Vehicle,1162381
122,Etosha Manufacturing,Logistics,Hardap,4,60,2074292,Payroll Support,36,5904294,616497,2523112,2749824,58048,572,0,1,Savings,132744
123,Windhoek Logistics,Transport,Otjozondjupa,8,27,1614367,Expansion,12,3605984,691812,1703010,831406,91668,597,8,1,Livestock,3258754
124,Kalahari Food Services,Food Services,Erongo,15,6,2473641,Technology Upgrade,24,1537752,482351,2937216,321137,105548,704,4,0,Property,3464163
125,Gobabis Food Services,Construction,Otjozondjupa,23,25,1114715,Working Capital,12,9335962,256460,1871583,3551204,92968,493,0,0,Equipment,324819
126,Luderitz Construction,Transport,Karas,10,8,2067328,Construction,12,13161187,348171,2980684,1764521,21880,777,2,1,Livestock,2177682
127,Oshana Fishing,Construction,Oshikoto,17,85,1820096,Expansion,48,4411802,663519,150308,2029945,90151,709,6,0,Vehicle,3121321
128,Gobabis Technologies,Retail,Otjozondjupa,4,44,1548287,Working Capital,24,10288807,647567,2325465,540037,88638,534,2,0,Vehicle,3855239
129,Otji Logistics,Technology,Oshana,10,111,867797,Payroll Support,60,4419646,84486,1344232,83393,31294,558,1,1,Vehicle,2910616
130,Caprivi Fishing,Construction,Otjozondjupa,6,85,163362,Equipment Purchase,24,12190492,281830,199073,2640637,55456,676,3,0,Equipment,2985455
131,Walvis Farming,Retail,Kavango East,20,55,1293222,Equipment Purchase,48,1982800,723304,1064769,2293486,84485,678,0,0,Livestock,2741809
132,Swakop Technologies,Technology,Kavango East,13,173,380331,Equipment Purchase,24,1584927,49240,2682356,585738,49270,660,0,0,Equipment,4950256
133,Windhoek Food Services,Mining Services,Hardap,18,64,1527600,Expansion,48,1310072,698125,1509589,1653791,87553,586,4,0,Property,4875689
134,Namib Food Services,Food Services,Oshana,18,164,1002204,Working Capital,48,13796095,389489,2460354,2205944,80912,496,7,0,Vehicle,3400524
135,Etosha Fishing,Transport,Hardap,2,185,2317335,Technology Upgrade,60,7351379,144177,50479,2134520,38081,450,3,1,Property,4727406
136,Okavango Farming,Mining Services,Oshikoto,7,103,1487497,Working Capital,48,13906807,278183,1242477,2826902,28955,796,2,0,Equipment,1505547
137,Kunene Trading,Technology,Kavango West,3,198,1046506,Technology Upgrade,24,11953595,390524,1425769,2217186,5708,563,1,0,Savings,3958287
138,Oshana Construction,Mining Services,Hardap,5,235,1623532,Construction,12,5245120,632802,2805709,3066032,115717,841,5,0,Vehicle,931529
139,Gobabis Construction,Food Services,Hardap,3,219,1621545,Inventory,48,11395406,398671,2342215,1429676,24867,743,3,0,Inventory,4019770
140,Kalahari Manufacturing,Retail,Oshikoto,15,174,1544913,Inventory,60,12903892,487427,957129,321849,16071,648,4,0,Equipment,2508441
141,Namib Manufacturing,Logistics,Oshikoto,21,29,2137723,Payroll Support,36,2320221,611930,2251992,3629824,45565,824,0,1,Vehicle,1638828
142,Luderitz Construction,Tourism,Oshikoto,21,3,2190951,Technology Upgrade,24,2505064,40767,220110,2943560,37007,512,1,0,Inventory,4157256
143,Windhoek Transport,Technology,Erongo,16,195,1759050,Inventory,60,1396084,159384,2595457,3822977,12430,484,2,0,Inventory,2926868
144,Okavango Farming,Technology,Otjozondjupa,25,120,552620,Vehicle Purchase,24,4893423,625657,2609524,972826,33927,566,5,0,Vehicle,2109708
145,Swakop Transport,Manufacturing,Oshana,19,104,1872737,Vehicle Purchase,60,14781332,60881,2171157,3118050,109039,674,1,0,Property,2358367
146,Gobabis Manufacturing,Tourism,Hardap,2,114,2108434,Working Capital,60,14469523,357007,2721233,1890922,98108,829,5,0,Inventory,4101882
147,Windhoek Construction,Technology,Kavango West,19,154,1064873,Expansion,12,10657501,298864,2827091,292065,33198,700,4,1,Savings,2689278
148,Okavango Tours,Logistics,Kavango East,1,4,358557,Equipment Purchase,24,6822302,374789,882849,2480768,4825,668,5,1,Inventory,724077
149,Namib Trading,Agriculture,Kavango East,11,119,144899,Construction,12,6404540,758423,647206,1766912,13018,738,1,0,Equipment,4818320
150,Oshana Food Services,Transport,Oshikoto,4,204,1220392,Expansion,60,13178331,339353,2800410,2345974,58670,774,1,0,Property,3382124
151,Erongo Logistics,Construction,Otjozondjupa,12,114,1637792,Equipment Purchase,48,3946749,43764,613542,90072,7174,787,4,0,Property,4083893
152,Swakop Trading,Retail,Oshana,11,208,930500,Inventory,12,10024017,355516,2263992,2633916,60750,665,1,0,Savings,354106
153,Kalahari Trading,Technology,Karas,22,164,2021373,Construction,24,1604117,577082,2439858,2782846,97445,478,4,0,Savings,1877701
154,Kunene Retail,Retail,Oshikoto,20,210,609427,Vehicle Purchase,60,12720990,497351,807936,3423488,7661,607,0,0,Vehicle,2843911
155,Kunene Fishing,Construction,Karas,21,214,2223695,Equipment Purchase,60,8011634,456126,2339475,1521230,16268,644,2,0,Inventory,1913934
156,Otji Technologies,Transport,Otjozondjupa,22,16,1938333,Payroll Support,48,14739542,732021,937461,1755556,29294,844,3,0,Inventory,3306143
157,Luderitz Tours,Retail,Oshikoto,21,244,850065,Construction,60,8562181,148291,1509380,2743773,97045,653,8,0,Inventory,3811026
158,Okavango Manufacturing,Logistics,Kavango West,6,171,422589,Construction,12,11231019,742730,419840,2504802,17,821,3,0,Savings,3213367
159,Walvis Supplies,Food Services,Khomas,11,219,315076,Working Capital,60,1696468,373691,1238068,701833,85211,599,6,0,Inventory,3837839
160,Swakop Tours,Agriculture,Karas,4,169,382385,Working Capital,36,10161003,73394,338949,2323903,10880,561,5,0,Vehicle,3285285
161,Caprivi Transport,Manufacturing,Otjozondjupa,6,17,1626121,Equipment Purchase,48,13668451,292331,417461,1794401,119688,809,0,1,Equipment,65170
162,Caprivi Construction,Transport,Khomas,17,73,500030,Vehicle Purchase,48,3348250,420519,2228524,281123,67986,454,4,0,Inventory,3149721
163,Walvis Construction,Mining Services,Kavango West,21,91,628664,Expansion,36,14205461,44555,1172074,3077128,116994,572,3,0,Property,2790547
164,Gobabis Tours,Food Services,Oshana,13,50,106203,Vehicle Purchase,12,9563642,66770,331837,603744,55232,629,5,1,Vehicle,380379
165,Etosha Technologies,Agriculture,Kavango East,4,154,1271891,Inventory,48,1301071,470530,1728163,677017,78601,653,6,0,Inventory,3531391
166,Erongo Food Services,Tourism,Oshikoto,11,214,2387706,Working Capital,24,7997334,267983,1996331,1120034,3142,780,3,1,Property,3325847
167,Katima Tours,Agriculture,Oshikoto,7,144,895514,Equipment Purchase,36,2199350,568229,1740298,1807341,65550,520,8,0,Property,1468706
168,Namib Logistics,Retail,Karas,19,248,244726,Inventory,36,5419118,789043,2368064,2082139,95710,450,5,0,Savings,1245587
169,Namib Supplies,Food Services,Oshikoto,4,219,306653,Construction,60,11095224,441585,1737047,2363492,1101,627,1,0,Equipment,2842114
170,Gobabis Food Services,Transport,Oshikoto,7,89,75140,Expansion,12,6314021,323980,969971,1876317,16585,705,2,0,Inventory,4323041
171,Otji Transport,Agriculture,Khomas,23,145,1420928,Working Capital,36,1340261,165166,133972,3270430,1184,506,2,0,Livestock,1256775
172,Oshana Tours,Food Services,Kavango East,24,71,2063921,Payroll Support,36,5229285,732706,2366078,1253893,65451,645,8,1,Property,3377863
173,Etosha Trading,Food Services,Kavango West,14,180,1399628,Expansion,36,14804101,145596,724470,2379236,117467,454,5,0,Property,3218771
174,Windhoek Technologies,Transport,Oshana,24,219,1548235,Working Capital,36,13230983,24330,2632886,2539604,21542,740,7,1,Savings,3241750
175,Etosha Logistics,Mining Services,Otjozondjupa,24,33,567134,Vehicle Purchase,36,10905381,570903,2913805,3179707,77880,803,7,1,Property,4044819
176,Kalahari Tours,Technology,Karas,9,215,1989627,Working Capital,36,14098796,187101,2251624,1724276,57077,452,0,1,Vehicle,1774933
177,Kunene Food Services,Logistics,Erongo,15,32,518185,Inventory,12,12760325,379898,1841394,1405739,105220,580,0,0,Property,3797835
178,Okavango Trading,Construction,Erongo,4,231,2488898,Technology Upgrade,24,14978758,389088,316922,3918175,47197,615,4,0,Livestock,3269294
179,Swakop Construction,Agriculture,Kavango East,12,215,100809,Equipment Purchase,24,8979350,145228,21077,1575057,12528,528,5,1,Livestock,3839557
180,Luderitz Retail,Retail,Kavango East,14,213,630511,Vehicle Purchase,12,480108,134714,1547777,1202053,108048,804,8,1,Savings,1225706
181,Katima Logistics,Food Services,Kavango West,10,249,2292919,Vehicle Purchase,12,5329919,446308,2516720,2085728,77451,460,3,0,Property,258015
182,Swakop Logistics,Agriculture,Khomas,6,201,200709,Inventory,36,7331045,487346,2325511,3021544,41957,802,3,0,Equipment,169352
183,Walvis Retail,Transport,Khomas,21,181,1041318,Inventory,36,12884324,368660,2344910,292151,6255,751,3,0,Inventory,1359590
184,Gobabis Farming,Mining Services,Kavango East,2,131,1393813,Working Capital,24,11428774,576569,2169947,645202,119592,510,8,0,Property,746237
185,Otji Transport,Manufacturing,Khomas,24,220,692757,Vehicle Purchase,48,7871799,72754,2060744,506059,2456,798,7,0,Equipment,2606018
186,Erongo Transport,Tourism,Oshana,22,113,2198515,Equipment Purchase,48,12224397,594510,2949026,2720212,106355,668,4,0,Property,269126
187,Otji Construction,Construction,Oshikoto,10,36,1761481,Equipment Purchase,36,3116922,701579,1567162,2995841,23517,824,1,0,Livestock,1659800
188,Luderitz Fishing,Construction,Kavango East,24,59,390264,Payroll Support,24,8524624,394453,2114283,1314605,50605,624,2,1,Savings,4200666
189,Kalahari Supplies,Retail,Oshana,6,240,1686901,Vehicle Purchase,12,4894456,797408,2000155,2911798,27600,640,7,0,Equipment,4026702
190,Namib Retail,Logistics,Khomas,24,181,1802560,Technology Upgrade,24,3880117,269524,2078591,3271175,23742,694,0,0,Vehicle,4438335
191,Oshana Farming,Agriculture,Kavango East,9,157,1953799,Vehicle Purchase,12,986081,219140,2387862,799662,44568,755,6,1,Inventory,3747871
192,Katima Manufacturing,Retail,Hardap,2,6,1333303,Payroll Support,36,4080293,573994,1362664,789259,82865,470,2,0,Equipment,4910628
193,Erongo Trading,Tourism,Kavango East,23,219,2389205,Vehicle Purchase,36,5245828,458264,2034223,1585022,77020,502,6,0,Equipment,4334255
194,Gobabis Farming,Agriculture,Karas,21,59,1048370,Construction,12,3920119,292123,2166433,957268,63195,802,4,0,Inventory,448590
195,Oshana Trading,Transport,Oshana,12,232,1664833,Construction,60,14570269,552068,2664555,1255075,118014,843,3,1,Savings,1422124
196,Namib Supplies,Agriculture,Kavango West,14,24,1221442,Vehicle Purchase,48,14058755,404866,1508713,2180789,84612,572,0,0,Equipment,2767125
