business_id,application_date,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value,debt_to_revenue_ratio,debt_service_coverage_ratio,loan_to_collateral_ratio,risk_score,risk_level,decision,interest_rate,pricing_tier,monthly_payment,total_repayment,total_interest_income,approval_probability
22,2025-03-21,Kunene Retail,Construction,Otjozondjupa,4,129,2395960,Inventory,36,14171263,345141,842740,66186,62183,650,6,0,Livestock,4989025,0.0,13.44,0.48,9.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.12
23,2025-04-24,Okavango Technologies,Food Services,Khomas,20,12,128103,Working Capital,36,2793348,721501,281159,3396332,56174,797,2,0,Inventory,2985092,1.22,-8.7,0.04,35.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,38.94
24,2025-06-19,Gobabis Food Services,Construction,Kavango East,17,193,1755185,Expansion,24,11319327,377972,2912424,3842356,44560,549,4,0,Livestock,3829980,0.34,12.69,0.46,38.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,42.02
25,2025-09-10,Walvis Transport,Tourism,Oshana,15,233,241827,Vehicle Purchase,48,9240783,627808,2122451,980561,119028,603,8,0,Property,3849241,0.11,1.2,0.06,21.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,23.54
26,2025-12-25,Gobabis Tours,Food Services,Khomas,22,192,1362823,Technology Upgrade,60,2202315,109796,2714933,2130083,85471,463,0,0,Property,950417,0.97,0.86,1.43,82.3,Low Risk,Approved,0.08,Standard Risk-Based Rate,27633.14,1657988.4,295165.4,90.53
27,2025-06-24,Erongo Farming,Manufacturing,Khomas,18,230,485335,Technology Upgrade,48,6019410,245911,374751,9756,77976,506,6,0,Inventory,4129518,0.0,3.28,0.12,7.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,7.7
28,2025-02-19,Etosha Fishing,Mining Services,Erongo,2,168,1733698,Construction,48,13062509,642488,2681013,3237497,64013,681,6,0,Property,3818969,0.25,6.97,0.45,14.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,15.73
29,2025-10-09,Katima Manufacturing,Technology,Kavango East,21,97,2391283,Inventory,24,3219731,198542,1733330,1205440,23138,514,0,0,Livestock,228632,0.37,3.02,10.46,75.5,Medium Risk,Review,0.15,Elevated Risk Premium,115945.3,2782687.2,391404.2,83.05
30,2025-03-02,Katima Transport,Retail,Erongo,3,150,1516373,Expansion,24,10965499,331048,1717385,72487,52996,814,8,0,Savings,4119080,0.01,11.0,0.37,25.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,28.05
31,2025-11-18,Caprivi Trading,Transport,Karas,19,49,1378818,Inventory,60,14989188,184214,25314,1822108,63730,460,4,0,Equipment,4622901,0.12,16.71,0.3,-5.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
32,2025-12-28,Katima Farming,Food Services,Kavango East,3,224,332882,Technology Upgrade,12,5092841,733938,1405017,3950637,64310,455,0,0,Equipment,1187609,0.78,-4.81,0.28,8.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,9.46
33,2025-05-02,Windhoek Manufacturing,Mining Services,Karas,10,41,804578,Equipment Purchase,48,9703834,501763,2169855,1101676,61616,771,6,0,Equipment,90337,0.11,4.98,8.91,46.5,Medium Risk,Review,0.15,Elevated Risk Premium,22392.01,1074816.48,270238.48,51.15
34,2025-02-24,Erongo Retail,Agriculture,Otjozondjupa,1,73,1490376,Construction,60,12832673,531876,820196,1565653,211,615,3,0,Equipment,4435907,0.12,2547.46,0.34,9.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.67
35,2025-02-08,Kalahari Technologies,Transport,Kavango East,19,16,420904,Working Capital,60,2885436,622836,2221936,3838508,116217,462,8,0,Savings,2240480,1.33,-3.29,0.19,-13.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
36,2025-10-18,Oshana Food Services,Retail,Karas,2,11,518537,Working Capital,36,9941892,716742,1472800,1268506,17454,569,6,1,Vehicle,3842939,0.13,6.4,0.13,-21.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
37,2025-03-28,Erongo Manufacturing,Construction,Kavango East,17,99,913570,Construction,12,12096808,439136,2194577,2276486,20686,592,2,0,Equipment,1580124,0.19,27.5,0.58,59.8,Medium Risk,Review,0.15,Elevated Risk Premium,82457.29,989487.48,75917.48,65.78
38,2025-01-01,Windhoek Fishing,Tourism,Erongo,12,45,1057338,Vehicle Purchase,24,11474236,484286,431462,1106328,24830,711,3,0,Property,2294979,0.1,19.01,0.46,32.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,35.97
39,2025-04-03,Kalahari Fishing,Food Services,Oshikoto,23,73,1800270,Working Capital,36,13442377,419278,381164,2913995,49089,558,6,0,Equipment,2758728,0.22,14.28,0.65,-9.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
40,2025-04-09,Otji Transport,Food Services,Otjozondjupa,22,105,2249499,Equipment Purchase,60,5349835,605087,1900917,3634480,54001,752,3,0,Savings,397013,0.68,-2.95,5.67,55.9,Medium Risk,Review,0.15,Elevated Risk Premium,53515.42,3210925.2,961426.2,61.49
41,2025-08-17,Kalahari Trading,Tourism,Erongo,6,78,2040055,Working Capital,60,2765545,131724,2315376,1978260,12561,508,5,1,Equipment,815941,0.72,7.86,2.5,-3.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
42,2025-03-21,Windhoek Construction,Retail,Karas,20,54,126763,Payroll Support,24,14650727,537810,1727294,54875,114680,502,0,0,Equipment,1523666,0.0,5.96,0.08,84.2,Low Risk,Approved,0.08,Standard Risk-Based Rate,5733.15,137595.6,10832.6,92.62
43,2025-03-31,Otji Trading,Manufacturing,Karas,7,114,481248,Expansion,48,14629760,480801,2955919,464863,60779,615,1,0,Livestock,247129,0.03,12.15,1.95,88.5,Low Risk,Approved,0.08,Standard Risk-Based Rate,11748.67,563936.16,82688.16,97.35
44,2025-05-10,Etosha Fishing,Food Services,Otjozondjupa,16,59,458088,Equipment Purchase,60,2305584,235123,709049,3376897,70486,580,4,0,Vehicle,2819942,1.46,-0.61,0.16,0.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.44
45,2025-08-21,Gobabis Supplies,Tourism,Khomas,23,76,254988,Technology Upgrade,36,14515669,763613,2496429,304064,106872,615,3,1,Livestock,2646229,0.02,4.17,0.1,68.9,Medium Risk,Review,0.15,Elevated Risk Premium,8839.24,318212.64,63224.64,75.79
46,2025-01-03,Oshana Construction,Retail,Oshana,19,128,815258,Vehicle Purchase,36,9574234,793680,361815,437559,37076,530,4,0,Property,2364212,0.05,0.11,0.34,22.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,24.64
47,2025-06-20,Katima Tours,Mining Services,Otjozondjupa,11,27,1882034,Vehicle Purchase,48,11378150,579448,566337,2475618,11952,517,3,0,Property,1882590,0.22,30.85,1.0,0.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.88
48,2025-12-12,Okavango Fishing,Manufacturing,Erongo,21,206,1875113,Vehicle Purchase,24,6294666,670026,2560393,2884649,2641,749,7,0,Livestock,4034278,0.46,-55.08,0.46,42.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,47.08
49,2025-10-14,Caprivi Retail,Agriculture,Kavango East,18,194,814536,Vehicle Purchase,48,6226890,162261,2459600,2203107,51528,804,7,0,Equipment,430070,0.35,6.92,1.89,48.6,Medium Risk,Review,0.15,Elevated Risk Premium,22669.15,1088119.2,273583.2,53.46
50,2025-03-22,Okavango Tours,Logistics,Oshana,21,245,877628,Construction,60,11261725,408850,72454,3928807,114698,602,2,1,Livestock,4979193,0.35,4.62,0.18,-12.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
51,2025-07-14,Okavango Transport,Transport,Oshana,3,180,2125761,Inventory,48,7846745,579779,453965,2865351,27406,698,4,0,Livestock,451376,0.37,2.7,4.71,-7.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
52,2025-01-21,Luderitz Fishing,Tourism,Oshana,1,140,291660,Working Capital,36,11286130,501786,1632156,2661119,64240,688,6,1,Savings,4568940,0.24,6.83,0.06,-21.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
53,2025-12-12,Kunene Construction,Transport,Otjozondjupa,17,121,2270832,Working Capital,36,4281951,148016,2463748,51945,65849,571,3,1,Savings,2044944,0.01,3.17,1.11,57.4,Medium Risk,Review,0.15,Elevated Risk Premium,78719.14,2833889.04,563057.04,63.14
54,2025-06-03,Okavango Farming,Retail,Karas,24,217,1252163,Expansion,60,2579829,40488,1191556,2605979,23149,621,4,0,Equipment,977922,1.01,7.54,1.28,33.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,37.29
55,2025-09-21,Okavango Construction,Agriculture,Kavango West,6,196,2393529,Expansion,24,10427832,671161,1853910,2381293,37758,564,6,0,Livestock,2480012,0.23,5.24,0.97,0.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.77
56,2025-12-08,Oshana Tours,Agriculture,Khomas,1,4,2027365,Working Capital,24,14429958,504103,2933287,714077,48208,702,8,0,Savings,3488511,0.05,14.49,0.58,29.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,32.12
57,2025-04-16,Namib Tours,Manufacturing,Karas,16,58,2005868,Technology Upgrade,60,9098474,335978,1034659,2118383,84049,500,3,0,Property,274611,0.23,5.02,7.3,19.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.45
58,2025-05-31,Caprivi Supplies,Tourism,Kavango West,25,161,1939000,Payroll Support,12,5671536,594508,2939422,68760,55102,625,4,0,Inventory,4802661,0.01,-2.21,0.4,96.1,Low Risk,Approved,0.08,Standard Risk-Based Rate,168670.56,2024046.72,85046.72,100.0
59,2025-04-03,Swakop Technologies,Tourism,Hardap,21,13,236029,Construction,36,12344855,530073,2934875,2769193,73678,622,3,0,Savings,3745871,0.22,6.77,0.06,70.7,Medium Risk,Review,0.15,Elevated Risk Premium,8182.02,294552.72,58523.72,77.77
60,2025-01-15,Luderitz Transport,Tourism,Oshikoto,1,64,2152208,Working Capital,24,11722824,206562,89346,3675826,64083,678,1,1,Inventory,4045599,0.31,12.02,0.53,-23.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
61,2025-06-27,Etosha Retail,Transport,Oshana,2,183,487405,Expansion,48,8642988,675113,877129,695759,1898,796,3,0,Equipment,4429035,0.08,23.78,0.11,39.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,43.12
62,2025-05-25,Swakop Fishing,Manufacturing,Oshikoto,16,175,2421260,Technology Upgrade,48,1008799,135066,2126576,2851876,74419,562,3,0,Vehicle,3129835,2.83,-0.69,0.77,40.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,44.22
63,2025-04-24,Gobabis Transport,Technology,Erongo,1,30,291813,Working Capital,48,8610890,243901,2422024,1402239,35755,519,2,1,Inventory,2500351,0.16,13.25,0.12,21.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,23.98
64,2025-12-11,Namib Trading,Transport,Kavango West,13,19,590063,Inventory,36,9617429,679261,2125960,3849451,56845,486,2,0,Savings,3139278,0.4,2.15,0.19,26.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,28.71
65,2025-05-01,Kunene Logistics,Logistics,Erongo,5,37,1311454,Inventory,48,3626035,215496,2373475,2298553,2455,786,7,0,Livestock,969106,0.63,35.3,1.35,24.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,27.06
66,2025-09-27,Caprivi Food Services,Food Services,Karas,13,234,262792,Inventory,24,13937847,57562,2911623,1342012,4549,490,0,0,Inventory,2842804,0.1,242.67,0.09,83.3,Low Risk,Approved,0.08,Standard Risk-Based Rate,11885.37,285248.88,22456.88,91.63
67,2025-07-28,Etosha Trading,Mining Services,Oshana,25,133,1543674,Vehicle Purchase,60,14351171,132680,897479,2803821,67463,622,5,0,Equipment,1365381,0.2,15.76,1.13,19.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.56
68,2025-05-10,Kunene Manufacturing,Logistics,Khomas,23,110,337119,Vehicle Purchase,48,3901007,672871,2203307,3658574,116753,836,5,0,Vehicle,1859388,0.94,-2.98,0.18,55.6,Medium Risk,Review,0.15,Elevated Risk Premium,9382.27,450348.96,113229.96,61.16
69,2025-10-19,Caprivi Logistics,Food Services,Oshana,21,161,890507,Equipment Purchase,48,10318517,787841,1511571,733540,7223,838,7,0,Livestock,2407101,0.07,9.97,0.37,52.2,Medium Risk,Review,0.15,Elevated Risk Premium,24783.48,1189607.04,299100.04,57.42
70,2025-11-25,Windhoek Manufacturing,Manufacturing,Kavango East,11,227,1783534,Inventory,12,8610069,789668,1767040,2721179,53883,514,8,1,Savings,2253856,0.32,-1.34,0.79,-38.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
71,2025-08-28,Windhoek Manufacturing,Mining Services,Khomas,23,233,616521,Working Capital,12,2156453,469397,1588680,2258207,112672,720,5,0,Livestock,689571,1.05,-2.57,0.89,45.7,Medium Risk,Review,0.15,Elevated Risk Premium,55646.14,667753.68,51232.68,50.27
72,2025-01-07,Katima Transport,Construction,Oshana,19,21,1510941,Working Capital,60,14095209,441039,96324,120226,85403,782,2,0,Savings,2461839,0.01,8.59,0.61,61.4,Medium Risk,Review,0.15,Elevated Risk Premium,35945.18,2156710.8,645769.8,67.54
73,2025-05-03,Kalahari Supplies,Mining Services,Kavango East,12,27,1424052,Expansion,60,13590148,194278,1143942,3278292,61022,468,4,0,Vehicle,922294,0.24,15.38,1.54,-7.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
74,2025-06-12,Etosha Food Services,Food Services,Erongo,20,89,2111774,Technology Upgrade,60,2275308,30102,1188349,574138,2430,766,4,0,Equipment,3365892,0.25,65.64,0.63,62.6,Medium Risk,Review,0.15,Elevated Risk Premium,50238.96,3014337.6,902563.6,68.86
75,2025-10-11,Caprivi Food Services,Retail,Erongo,23,108,883074,Inventory,48,12526943,105590,167248,3295967,12408,510,1,1,Equipment,2343226,0.26,75.62,0.38,-2.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
76,2025-08-31,Kalahari Transport,Technology,Erongo,4,101,2255496,Expansion,60,13524759,587514,252630,1311327,39288,728,8,0,Livestock,4656132,0.1,13.73,0.48,-23.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
77,2025-05-03,Caprivi Farming,Technology,Oshana,4,156,764672,Inventory,36,14595925,82293,1794462,2022868,43204,563,1,0,Livestock,2712574,0.14,26.25,0.28,40.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,44.0
78,2025-01-08,Erongo Trading,Food Services,Kavango West,20,216,1188675,Construction,36,5332771,384531,1053332,3883193,35198,667,7,0,Livestock,2684278,0.73,1.7,0.44,-7.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
79,2025-04-07,Kunene Retail,Logistics,Kavango West,23,158,1151363,Technology Upgrade,48,12782050,377704,1626088,3190694,27113,479,7,0,Vehicle,4152848,0.25,25.36,0.28,-3.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
80,2025-09-01,Swakop Technologies,Mining Services,Khomas,11,200,1776340,Vehicle Purchase,24,8787911,298824,247925,1898380,24662,622,8,0,Equipment,2779591,0.22,17.58,0.64,-29.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
81,2025-08-31,Namib Tours,Logistics,Otjozondjupa,13,209,182142,Working Capital,48,8913794,99627,2629242,2609790,26225,499,0,0,Vehicle,2699395,0.29,24.53,0.07,65.9,Medium Risk,Review,0.15,Elevated Risk Premium,5069.15,243319.2,61177.2,72.49
82,2025-11-03,Namib Food Services,Mining Services,Erongo,11,208,597238,Working Capital,48,13447836,166587,952580,3655134,109429,500,0,1,Property,2177694,0.27,8.72,0.27,-1.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
83,2025-04-05,Windhoek Farming,Technology,Erongo,24,135,1244310,Technology Upgrade,12,4764104,43336,2224731,411580,83909,798,4,1,Equipment,3796716,0.09,4.21,0.33,74.2,Medium Risk,Review,0.15,Elevated Risk Premium,112309.32,1347711.84,103401.84,81.62
84,2025-01-17,Walvis Transport,Manufacturing,Khomas,14,57,2088332,Technology Upgrade,36,928790,439050,1348271,1355773,27345,816,4,0,Equipment,3912085,1.46,-13.23,0.53,54.0,Medium Risk,Review,0.15,Elevated Risk Premium,72392.71,2606137.56,517805.56,59.4
85,2025-09-11,Katima Fishing,Transport,Hardap,4,67,1987639,Working Capital,36,14130817,205630,2424406,351396,47593,625,1,0,Vehicle,1228823,0.02,20.42,1.62,75.5,Medium Risk,Review,0.15,Elevated Risk Premium,68902.16,2480477.76,492838.76,83.05
86,2025-04-09,Etosha Transport,Transport,Kavango West,2,36,465274,Technology Upgrade,24,9433735,289018,1160029,65393,32737,807,7,1,Equipment,1756686,0.01,15.19,0.26,0.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.22
87,2025-09-16,Windhoek Supplies,Construction,Hardap,14,182,933597,Technology Upgrade,36,2750977,88458,2076723,2221209,102335,802,2,0,Equipment,4649434,0.81,1.38,0.2,74.5,Medium Risk,Review,0.15,Elevated Risk Premium,32363.45,1165084.2,231487.2,81.95
88,2025-04-29,Katima Manufacturing,Technology,Hardap,3,61,119468,Technology Upgrade,12,14717325,767573,1622151,3203527,49172,781,1,0,Savings,212719,0.22,9.33,0.56,45.0,Medium Risk,Review,0.15,Elevated Risk Premium,10782.98,129395.76,9927.76,49.5
89,2025-10-31,Gobabis Logistics,Tourism,Kavango West,6,188,944224,Vehicle Purchase,36,14532270,25603,1223028,452785,74467,509,8,0,Vehicle,2621601,0.03,15.92,0.36,-14.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
90,2025-03-13,Katima Fishing,Food Services,Erongo,12,227,755123,Inventory,12,7529609,661201,2332537,3763647,20221,728,0,0,Inventory,4602754,0.5,-1.67,0.16,69.8,Medium Risk,Review,0.15,Elevated Risk Premium,68156.13,817873.56,62750.56,76.78
91,2025-12-26,Caprivi Trading,Agriculture,Hardap,6,187,2359284,Inventory,48,13193538,159279,1103399,209467,87477,741,8,0,Property,4383809,0.02,10.75,0.54,9.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.01
92,2025-06-30,Windhoek Retail,Construction,Erongo,4,4,803214,Equipment Purchase,60,1409176,201213,2773758,1471025,119404,491,7,0,Savings,2436856,1.04,-0.7,0.33,9.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.89
93,2025-05-12,Luderitz Retail,Tourism,Kavango West,1,69,1590357,Equipment Purchase,48,2845747,450588,2763659,1121401,81968,705,8,1,Vehicle,4117616,0.39,-2.6,0.39,2.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,2.31
94,2025-11-14,Gobabis Trading,Manufacturing,Erongo,10,137,220023,Expansion,12,4513341,728205,2252380,1501448,109323,649,3,0,Livestock,1618474,0.33,-3.22,0.14,55.9,Medium Risk,Review,0.15,Elevated Risk Premium,19858.9,238306.8,18283.8,61.49
95,2025-09-12,Etosha Supplies,Food Services,Kavango West,15,142,184122,Expansion,48,6512445,253854,1665309,1473179,96488,642,7,0,Savings,1987943,0.23,2.99,0.09,19.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.23
96,2025-07-04,Etosha Technologies,Construction,Kavango East,24,74,2177236,Vehicle Purchase,36,650371,553558,902153,539131,20644,466,2,0,Property,1187023,0.83,-24.19,1.83,49.3,Medium Risk,Review,0.15,Elevated Risk Premium,75474.6,2717085.6,539849.6,54.23
97,2025-08-08,Otji Food Services,Food Services,Kavango East,19,78,701808,Working Capital,48,14017665,156727,889304,524006,17497,841,8,1,Savings,1104188,0.04,57.8,0.64,11.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,12.21
98,2025-10-01,Luderitz Logistics,Construction,Karas,8,172,2138916,Vehicle Purchase,60,1847874,49901,756140,3818321,110525,611,1,0,Vehicle,1817054,2.07,0.94,1.18,12.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.2
99,2025-02-26,Caprivi Trading,Construction,Otjozondjupa,13,101,326518,Inventory,60,10879180,624572,1647958,376024,34765,765,5,0,Savings,283756,0.03,8.11,1.15,55.2,Medium Risk,Review,0.15,Elevated Risk Premium,7767.84,466070.4,139552.4,60.72
100,2025-09-15,Namib Logistics,Mining Services,Otjozondjupa,7,83,1613431,Working Capital,36,2914957,745590,2245328,3007008,115953,613,7,0,Savings,3228250,1.03,-4.34,0.5,0.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.66
101,2025-02-28,Caprivi Food Services,Mining Services,Khomas,23,19,971410,Vehicle Purchase,12,11768962,552950,2287529,467258,56857,802,0,0,Inventory,3934327,0.04,7.52,0.25,125.8,Low Risk,Approved,0.08,Standard Risk-Based Rate,84501.43,1014017.16,42607.16,100.0
